Server Tag,Scan Rate,Data Type,Deadband,Send Every Scan,Enabled,Use Scan Rate,
"SiemensTCPIP.PLC.tabQB400",100,Byte Array,0.000000,0,0,1
"SiemensTCPIP.PLC.tabQB408",100,Byte Array,0.000000,0,0,1
"SiemensTCPIP.PLC.tabQB416",100,Byte Array,0.000000,0,0,1
"SiemensTCPIP.PLC.tabQB424",100,Byte Array,0.000000,0,0,1
"SiemensTCPIP.PLC.tabQB432",100,Byte Array,0.000000,0,0,1
"SiemensTCPIP.PLC.tabQB440",100,Byte Array,0.000000,0,0,1
"SiemensTCPIP.PLC.tabQB448",100,Byte Array,0.000000,0,0,1
"SiemensTCPIP.PLC.tabQB456",100,Byte Array,0.000000,0,0,1
"SiemensTCPIP.PLC.tabQB464",100,Byte Array,0.000000,0,0,1
"SiemensTCPIP.PLC.tabQB472",100,Byte Array,0.000000,0,0,1
"SiemensTCPIP.PLC.tabQB480",100,Byte Array,0.000000,0,0,1
"SiemensTCPIP.PLC.tabQB488",100,Byte Array,0.000000,0,0,1
